('wav2vec_random', 'librispeech_train', 9, '0.5', 0.05846848603112464, 6.848310957911109e-12)
('wav2vec_random', 'librispeech_train', 10, '0.5', 0.05897251299069203, 4.515443530151577e-12)
('wav2vec_random', 'librispeech_train', 11, '0.5', 0.05902605397907358, 4.319142035064983e-12)
('hubert_base_ls960', 'librispeech_train', 0, '0.5', 0.055972700238758555, 5.1182336347174135e-11)
('hubert_base_ls960', 'librispeech_train', 1, '0.5', 0.06777263356955819, 1.792878776475093e-15)
('hubert_base_ls960', 'librispeech_train', 2, '0.5', 0.06922984901271012, 4.4244135868054814e-16)
('hubert_base_ls960', 'librispeech_train', 3, '0.5', 0.07414855989396167, 3.168722312508438e-18)
('hubert_base_ls960', 'librispeech_train', 4, '0.5', 0.0717495127858435, 3.674163231604407e-17)
('hubert_base_ls960', 'librispeech_train', 5, '0.5', 0.07985016084055666, 6.806752812446134e-21)
('hubert_base_ls960', 'librispeech_train', 6, '0.5', 0.08686944146641708, 1.903275510685326e-24)
('hubert_base_ls960', 'librispeech_train', 7, '0.5', 0.10432894124475384, 1.3938401749223392e-34)
('hubert_base_ls960', 'librispeech_train', 8, '0.5', 0.11606482732992421, 1.9176472224875378e-42)
('hubert_base_ls960', 'librispeech_train', 9, '0.5', 0.11071905138562693, 9.308744418030181e-39)
('hubert_base_ls960', 'librispeech_train', 10, '0.5', 0.09355710081270888, 4.135900874317484e-28)
('hubert_base_ls960', 'librispeech_train', 11, '0.5', 0.09021802107297393, 3.015447109955291e-26)
('fast_vgs', 'spokencoco_val', 0, '0.5', -0.015717258353284434, 0.08137287743257804)
('fast_vgs', 'spokencoco_val', 1, '0.5', -0.03407767849152161, 0.00015714594575472047)
('fast_vgs', 'spokencoco_val', 2, '0.5', -0.026290152142024306, 0.003551734162848831)
('fast_vgs', 'spokencoco_val', 3, '0.5', -0.024237421706023367, 0.007193640517322315)
('fast_vgs', 'spokencoco_val', 4, '0.5', -0.01913132267166413, 0.0338881757320065)
('fast_vgs', 'spokencoco_val', 5, '0.5', 0.010580940622341576, 0.2407132812953777)
('fast_vgs', 'spokencoco_val', 6, '0.5', 0.04647125383149106, 2.531785710527015e-07)
('fast_vgs', 'spokencoco_val', 7, '0.5', 0.08431206981793951, 7.61459840431377e-21)
('fast_vgs', 'spokencoco_val', 8, '0.5', 0.1336171176049051, 4.332715486806314e-50)
('fast_vgs', 'spokencoco_val', 9, '0.5', 0.16257079685123968, 1.3798823615549808e-73)
('fast_vgs', 'spokencoco_val', 10, '0.5', 0.164691767122781, 1.699227356344879e-75)
('fast_vgs', 'spokencoco_val', 11, '0.5', 0.15743781711174504, 4.508438945707039e-69)
('fast_vgs', 'spokencoco_val', 12, '0.5', 0.16853795766799, 5.023777477855779e-79)
('fast_vgs_plus', 'spokencoco_val', 0, '0.5', -0.019329227247548188, 0.032085107161831654)
('fast_vgs_plus', 'spokencoco_val', 1, '0.5', -0.025965824039941132, 0.003983395999461571)
